Noncampuscrime060708[1,2,3].csv
Northland Pioneer College,Silver Creek Campus - SCC,1610 S. Main St.
Northland Pioneer College,White Mountain Campus - WMC,1001 W. Duece of Clubs
Northland Pioneer College,Heber Center,300 N. Mustang Drive
Northland Pioneer College,Hopi Center,First Mesa - P.O. Box 1210
Northland Pioneer College,Kayenta Center,Kayenta Challenge Center
Northland Pioneer College,Springerville/Eagar Center,578 N. Main St.
Northland Pioneer College,St. Johns Center,65 S. 3rd West
Northland Pioneer College,Whiteriver Center,720 S. Chief
Ottawa University-Phoenix,Arizona Main Campus,10020 N. 25th Avenue
Artistic Beauty Colleges-NW Phoenix,Main Campus,2727 West Glendale Avenue #200
Phoenix College,Main Campus,1202 W THOMAS RD
Cortiva Institute-Scottsdale,Cortiva Institute-Scottsdale,8010 E McDowell Road #214
University of Phoenix-Phoenix-Hohokam Campus,Main Campus,4635 E. ELWOOD STREET
University of Phoenix-Phoenix-Hohokam Campus,Northwest Campus-Phoenix,2550 West Union Hills Drive
University of Phoenix-Phoenix-Hohokam Campus,Mesa Campus,1620 South Stapley Drive
University of Phoenix-Phoenix-Hohokam Campus,Scottsdale Campus,8801 E Raintree Road
University of Phoenix-Phoenix-Hohokam Campus,Chandler Campus,2975 West Linda Lane
University of Phoenix-Phoenix-Hohokam Campus,West Valley Campus,9520 W. Palm Lane
Pima Community College,West Campus,2202 W. Anklam Rd.
Pima Community College,Downtown Campus,1255 N. Stone Ave.
Pima Community College,District Office,4905D  E. Broadway Blvd.
Pima Community College,Community Campus,401 N. Bonita
Pima Community College,East Campus,8181 E. Irvington Rd.
Pima Community College,Desert Vista Campus,5901 S. Calle Santa Cruz
Pima Community College,Northwest Campus,7600 N. Shannon
Pima Community College,Northeast Learning Center,7816 E. Wrightstown Rd.
Pima Community College,El Rio Adult Education Center,1390 W. Speedway Blvd.
Pima Community College,El Pueblo Adult Education Center,101 W. Irvington Rd.
Pima Community College,Lindsey Adult Education Center,1602 S. 3rd Ave.
Pima Community College,Eastside Adult Education Center,1630 S. Alvernon
Pima Community College,Aviation Technology Center,7211 S. Park
Pima Medical Institute,Main Campus,3350 E GRANT RD
Pima Medical Institute,Albuquerque Campus,2201 SAN PEDRO NE BLDG 3 STE 100
Prescott College,Prescott College,220 GROVE AVE
Refrigeration School Inc,Main Campus,4210 E WASHINGTON
Rio Salado College,Main Campus-Tempe,2323 W 14TH ST
