Noncampuscrime060708[1,2,3].csv
Hobart Institute of Welding Technology,Main Campus,400 Trade Square East
Hocking College,Main Campus,3301 HOCKING PKY
Hocking College,Perry Campus,5454 St. Rt. 37
Hocking College,Lake Snowden Campus,6500 U.S. Rt. 50
Huron School of Nursing,Main Campus,13951 TERRACE RD
American School of Technology,American School of Technology,4599 Morse Centre
Ross Institute of Medical and Dental Technology,Ross Institute of Medical and Dental Technology,11590 Century Blvd.
International College of Broadcasting,Main Campus,6 S SMITHVILLE RD
ITT Technical Institute-Dayton,Main Campus,3325 STOP EIGHT RD
Jefferson Community College,Main Campus,4000 SUNSET BLVD
John Carroll University,Main Campus,20700 N PARK BLVD
Hondros College,Hondros College,4140 Executive Parkway
Hondros College,Dayton-Fairborn,1810 Successful Dirve
Hondros College,Cincinnati-West Chester,7600 Tyler's Place Blvd
Casal Aveda Institute,Main Campus,6000 MAHONING AVE
Kent State University Ashtabula Campus,Ashtabula,3300 Lake Rd. West
Kent State University East Liverpool Campus,East Liverpool Campus,400 E 4TH ST
Kent State University Stark Campus,Kent State University Stark Campus,6000 FRANK AVE NW
Kent State University Trumbull Campus,Kent State University-Trumbull Campus,4314 MAHONING AVE NW
Kent State University Tuscarawas Campus,Kent State University Tuscarawas,330 UNIVERSITY DR NE
Kent State University Salem Campus,Salem Campus,2491 ST RT 45 S
Kent State University Kent Campus,Main Campus,500 East Main Street
Kent State University Geauga Campus,GEAUGA CAMPUS,14111 CLARIDON-TROY RD
Kenyon College,Main Campus,101 Scott Lane
Kettering College of Medical Arts,KETTERING COLLEGE OF MEDICAL ARTS,3737 SOUTHERN BLVD
Lake Erie College,Lake Erie College 01,391 W WASHINGTON ST
Lakeland Community College,Main Campus,7700 CLOCKTOWER DR
Lakeland Community College,Lakeland East,201 Watertower Drive
Lakeland Community College,Lakeland Painesville,1 Victoria Square
Lakeland Community College,Lakeland Shoregate,225 Shoregate Shopping Center
O C Collins Career Center,Main Campus,11627 STATE RTE 243
O C Collins Career Center,Coal Grove Branch,Marion Pike
James A Rhodes State College,Main Campus,4240 CAMPUS DR
Ohio Business College,BRANCH CAMPUS,5202 Timber Commons Dr.
Lorain County Community College,Lorain County Community College,1005 N ABBE RD
Lourdes College,Main Campus,6832 CONVENT BLVD
Malone University,Main Campus,2600 Cleveland Avenue NW
Malone University,Continuing Studies Center-Brecksville,Grand Bay Corporate Center Building 2
Malone University,Continuing Studies Center-Boardman,Westfield Professional Centre 4137 Boardman-Canfield Road
MedCentral College of Nursing,MedCentral College of Nursing,335 Glessner Ave
Marietta College,Main Campus,IRVINE BLDG
Marion Technical College,Marion Campus,1467 Mt. Vernon Avenue
Medina County Career Center,Main Campus,1101 W LIBERTY ST
The University of Toledo-Health Science Campus,University of Toledo,Health Science Campus
Mercy College of Northwest Ohio,Mercy College of Northwest Ohio Main Campus,2221 MADISON AVE
Methodist Theological School in Ohio,Main Campus,3081 COLUMBUS PIKE
Miami University-Hamilton,Miami University-Hamilton (204006),1601 University Blvd.
Miami University-Middletown,Miami University-Middletown (204015),4200 E University Blvd
Miami University-Oxford,Miami University-Oxford (204024),501 East High Street
Miami University-Oxford,Miami Univeristy-Luxembourg,1
Miami-Jacobs Career College,Main Campus,110 N. Patterson Blvd.
Moler Hollywood Beauty Academy,Main Campus,6142 Montgomery Rd
Miami Valley Career Technology Center,Miami Valley Career Technology Center,6800 Hoke Rd
Moore University of Hair Design,Main Campus,7030 Reading Road
Mount Carmel College of Nursing,Main Campus,127 S.  DAVIS AVE
Mount Union College,Main Campus,1972 CLARK AVE
Mount Vernon Nazarene University,Main Campus,800 MARTINSBURG RD
College of Mount St. Joseph,Main Campus,5701 DELHI RD
Zane State College,Main Campus,1555 NEWARK RD
Muskingum College,Main Campus,163 STORMONT STREET
National Institute of Technology,Main Campus,2545 BAILEY AVE
Brown Mackie College-North Canton,Brown Mackie College - N Canton,4300 Munson Street NW
National Beauty College,Main Campus,4642 CLEVELAND AVE NW
North Central State College,Main Campus,2441 KENWOOD CIR
Northern Institute of Cosmetology,Northern Institute of Cosmetology,669 BROADWAY
Northwest State Community College,Main Campus,22600 State Route 34
Toledo Public Schools Adult & Continuing Education,Main Campus,1530 N. Superior
Notre Dame College,Main Campus,4545 COLLEGE RD
Northeastern Ohio Universities Colleges of Medicine and Pharmacy,Main Campus,4209 STATE ROUTE 44
University of Northwestern Ohio,University of Northwestern Ohio,1441 n.cable rd
Oberlin College,Main Campus,70 N PROFESSOR ST
Ohio College of Podiatric Medicine,Main Campus,6000 Rockside Woods Blvd N
Ohio College of Massotherapy Inc,Main Campus,225 HERITAGE WOODS DR.
Ohio Technical College,Main Campus,1374 E 51ST ST
Ohio Dominican University,Main Campus,1216 SUNBURY RD
Ohio Institute of Photography and Technology,Main Campus,2029 EDGEFIELD RD
Ohio Northern University,Main Campus,525  SOUTH MAIN ST
Ohio State University Agricultural Technical Institute,Main Campus,1328 DOVER RD
Ohio State University-Lima Campus,Ohio State University-Lima Campus,4240 CAMPUS DRIVE
Ohio State University-Mansfield Campus,Ohio State University - Mansfield Campus,1760 University Drive
Ohio State University-Marion Campus,Marion Campus,1465 MT VERNON AVE
Ohio State University-Newark Campus,NEWARK CAMPUS,1179 UNIVERSITY DR
Ohio State Beauty Academy,Main Campus,57 Town Square
Ohio State College of Barber Styling,Main Campus,4614 E BROAD ST
Ohio State School of Cosmetology & Experts Barber School,Ohio State School of Cosmetology & THE Barber School,4390 KARL RD
The Spa School,The Spa School,5050 N High Street
Ohio State School of Cosmetology,Ohio State School of Cosmetology,6320 E LIVINGSTON AVE
Ohio State University-Main Campus,Main Campus,190 N. OVAL MALL
Ohio University-Eastern Campus,Ohio University Eastern Campus,45425 NATIONAL RD W
Ohio University-Chillicothe Campus,Ohio University Chillicothe,101 University Dr.
Ohio University-Southern Campus,Ohio University Southern Campus,1804 LIBERTY AVE
Ohio University-Lancaster Campus,Regional Campus,1570 GRANVILLE PIKE
Ohio University-Main Campus,Ohio University - Main Campus,Cutler Hall 108
Ohio University-Zanesville Campus,Main Campus,1425 NEWARK RD
Ohio Valley College of Technology,Main Campus,16808 ST CLAIR AVE
Trinity Health System School of Nursing,Main Campus,380 SUMMIT AVE
Ohio Wesleyan University,Main Campus,61 S SANDUSKY STREET
Otterbein College,Main Campus,One Otterbein College
Owens Community College,Main Campus,30335 OREGON RD
Owens Community College,Findlay Campus,3200 Bright Rd.
Paramount Beauty Academy,Main Campus,1745 11TH ST
School of Nursing at Cuyahoga Valley Career Center,Main Campus,8001 Brecksville Rd
Payne Theological Seminary,Main Campus,PO Box 474
Pontifical College Josephinum,Main Campus,7625 N HIGH
Professional Skills Institute,PROFESSIONAL SKILLS INSTITUTE,5115 Glendale Avenue
Firelands Regional Medical Center School of Nursing,Main Campus,1912 HAYES AVE
Rabbinical College Telshe,Main Campus,28400 EUCLID AVE
Raphaels School of Beauty Culture,Main Campus,1324 YOUNGSTOWN WARREN RD
Raphaels School of Beauty Culture,Raphael's School of Beauty Culture,3307 Center Rd.
RETS College,RETS COLLEGE,555 E ALEX BELL RD
University of Rio Grande,Main Campus,218 N COLLEGE AVE
School of Advertising Art Inc,Main Campus,1725 E DAVID RD
Shawnee State University,Main Campus,940  SECOND  ST
Sinclair Community College,Dayton Campus,444 W THIRD ST
Sinclair Community College,Englewood Learning Center,1150 West National Road
Sinclair Community College,Huber Heights Learning Center,7301 Shull Road
Sinclair Community College,Courseview Campus Center,5386 Courseview Drive
Gallipolis Career College,Main Campus,1176 JACKSON PKE
Daymar College,Branch Campus,3879 Rhodes Ave.
Daymar College,Daymar College,504 McCarty Lane
Daymar College,Branch Campus,1522 SHERIDAN DR
Daymar College,Daymar College,1855 WESTERN AVENUE
Brown Mackie College-Cincinnati,Brown Mackie College - Cincinnati,1011 GLENDALE MILFORD RD
Brown Mackie College-Akron,Brown Mackie College - Akron,755 White Pond Drive Suite 101
Southwestern College,SOUTHWETERN COLLEGE-FRANKLIN CAMPUS,201 E. SECOND STREET
Southwestern College,TriCounty,149 Northland Blvd.
Southwestern College,Branch Campus,632 VINE ST
Southwestern College,Main Campus,111 W  1st  STREET
Stark State College of Technology,Main Campus,6200 FRANK AVE NW
Stark State College of Technology,Automotive Technology Center,5600 Whipple Ave NW
Stark State College of Technology,Alliance Campus,1237 W. State Street
Stautzenberger College,Main Campus,1796 Indian Wood Circle
Franciscan University of Steubenville,Main Campus,1235 UNIVERSITY BLVD
Franciscan University of Steubenville,Franciscan University - Gaming Campus,Austria
Southern State Community College,South Campus,12681 U.S. Rt. 62
Southern State Community College,North Campus,1850 Davids Drive
Southern State Community College,Fayette Campus,1270 US Route 62 SW
Southern State Community College,Central Campus,100 Hobart Drive
Temple Baptist College,Main Campus,11965 KENN RD
Terra State Community College,Main Campus,2830 NAPOLEON RD
Tiffin Academy of Hair Design,Tiffin Academy of Hair Design,104 E MARKET ST
Tiffin University,Tiffin Campus,155 MIAMI ST
University of Toledo,University of Toledo,2801 W BANCROFT
Kaplan Career Institute,Main Campus,8720 BROOKPARK ROAD
Tri-State Bible College,Tri-State Bible College,506 MARGARET ST
Tri-County Adult Career Center,Main Campus,15676 ST RT 691
Tri-Rivers Career Center,Main Campus,2222 MARION MOUNT GILEAD RD
Trinity Lutheran Seminary,Main Campus,2199 E MAIN ST
Trumbull Business College,Main Campus,3200 Ridge Road
Union Institute & University,Main Campus,440 E MCMILLAN ST
Union Institute & University,UNION INSTITUTE & UNIVERSITY-LOS ANGELES,12777 W. Jefferson Blvd
Union Institute & University,UNION INSTITUTE & UNIVERSITY - Miami,16853 NE SECOND AVE
Union Institute & University,UNION INSTITUTE & UNIVERSITY - SACRAMENTO,2710-S Gateway Oaks Drive
Union Institute & University,Union Institute & University - MONTPELIER,62 Ridge Street
Union Institute & University,Union Institute & University - Brattleboro Center,157 Old Guilford Road
Union Institute & University,Marlboro Center,28 Vernon Street
United Theological Seminary,Main Campus,4501 Denlinger Road
Upper Valley Joint Vocational School,Main Campus,8811 CAREER DR
Urbana University,Main Campus,579 COLLEGE WAY
Ursuline College,Ursuline College Main Campus,2550 LANDER RD
Valley Beauty School,Main Campus,706 Wheeling Avenue
Virginia Marti College of Art and Design,Main Campus,11724 DETROIT AVENUE
Cut Beauty School,Cut Beauty School,13238 Cedar Rd
W Howard Nicol School of Practical Nursing,Main Campus,4401 SHRIVER RD
Walsh University,Main Campus,2020 East Maple Street
Washington State Community College,Main Campus,710 COLEGATE DR
Western Hills School of Beauty and Hair Design,Main Campus,6490 GLENWAY
Wilberforce University,Main Campus,1055 N BICKETT RD
Wilmington College,Main Campus,1870 Quaker Way
Winebrenner Theological Seminary,Main Campus,950 N. Main St.
Wittenberg University,Main Campus,200 W. Ward Street
The College of Wooster,Main Campus,1189 Beall Avenue
Wright State University-Main Campus,Main Campus,3640 Colonel Glenn Highway
Wright State University-Lake Campus,Lake Campus,7600 St. Rt. 703
Xavier University,Main Campus,3800 VICTORY PKY
ITT Technical Institute-Youngstown,Main Campus,1030 N MERIDIAN RD
Youngstown State University,Main Campus,One University Plaza
American Broadcasting School,Main Campus,4511 SE 29TH ST
Bacone College,Main Campus,2299 OLD BACONE RD
Oklahoma Wesleyan University,Main Campus,2201 SILVER LAKE RD
Southern Nazarene University,Main Campus,6729 NW 39TH EXPY
Southern Nazarene University,SNU Tulsa Center,10159 East 11th Suite 200
Broken Arrow Beauty College Inc,Main Campus,400 S ELM PL
Pontotoc Technology Center,Main Campus,601 W 33rd
Cameron University,Cameron University,2800 W GORE BLVD
Carl Albert State College,Main Campus,1507 S MCKENNA
Central State Beauty Academy,Main Campus,8494 NORTHWEST EXPY
University of Central Oklahoma,Main Campus,100 N UNIVERSITY DR
Claremore Beauty College,Main Campus,200 N CHEROKEE
Connors State College,Connors State College/Main Campus,Rt. 1 Box 1000
East Central University,Main Campus,1100 E. 14
Eastern Oklahoma State College,Main Campus,1301 W MAIN ST
Eastern Oklahoma State College,McAlester Branch Campus,1802 East College Avenue
Redlands Community College,Main Campus,1300 S COUNTRY CLUB RD
Enid Beauty College,Enid Beauty College,Inc.
Eves College of Hairstyling,Eve's College of Hairstyling,912 C  AVE
Hillsdale Free Will Baptist College,Main Campus,PO Box 7208
Hollywood Cosmetology Center,Main Campus,1708 W LINDSEY
Langston University,Main Campus,102 Page Hall
Murray State College,Murray State College,ONE MURRAY CAMPUS
Spartan College of Aeronautics and Technology,Main Campus,8820 E PINE ST
Northeastern State University,Main Campus,600 N GRAND
Beauty Technical College Inc,BEAUTY TECHNICAL COLLEGE INC (2072721),605 E. DOWNING STREET
Beauty Technical College Inc,Bixby Beauty College,8510 E. 131st St. So.
Northern Oklahoma College,Main Campus,1220 E GRAND AVE
Northern Oklahoma College,Northern Oklahoma College Enid,100 South University
Northeastern Oklahoma A&M College,Main Campus,200 I ST NE
Northeastern Oklahoma A&M College,NORTHEASTERN OKLAHOMA GROVE CAMPUS,1201 NEO Loop
Northwestern Oklahoma State University,Main Campus,709 OKLAHOMA BLVD
Northwestern Oklahoma State University,Enid Campus,2929 East Randolph
Northwestern Oklahoma State University,Woodward Campus,2007 34th Street
Oklahoma State University Center for Health Sciences,Main Campus,1111 W 17TH ST
Oklahoma Christian University,Oklahoma Christian University,2501 E MEMORIAL RD
University of Oklahoma Health Sciences Center,Main Campus,1100 N Lindsay
University of Oklahoma Health Sciences Center,The University of Oklahoma-Tulsa Schusterman Ctr,4502 E. 41st Street
University of Oklahoma Health Sciences Center,The University of Oklahoma-Tulsa Sheridan Campus,2815 South Sheridan Road
University of Oklahoma Health Sciences Center,The University of Oklahoma-Tulsa Fam Medicine Ctr,1111 South St. Louis Ave.
Oklahoma Panhandle State University,Main Campus,323 EAGLE AVE
Oklahoma State University-Main Campus,Oklahoma State University - Stillwater,Whitehurst Hall
Oklahoma State University-Main Campus,Oklahoma State University - Tulsa,700 N. Greenwood Ave.
Oklahoma State University-Oklahoma City,OSU-Oklahoma City,900 N PORTLAND
Oklahoma Baptist University,Oklahoma Baptist University,500 W UNIVERSITY
Oklahoma City Community College,Main Campus,7777 S MAY AVE
Oklahoma City University,Oklahoma City University,2501 N BLACKWELDER
University of Oklahoma Norman Campus,Main Campus,660 PARRINGTON OVAL
Oklahoma School of Photography,Main Campus,2306 N MOORE AVE
Oklahoma State University Institute of Technology-Okmulgee,Main Campus,1801 E 4TH ST
Oral Roberts University,Oral Roberts University,7777 S LEWIS
Tulsa Technology Center-Peoria,PEORIA CAMPUS,3850 N PEORIA
Platt College-OKC Central Campus,Branch Campus,309 S ANN ARBOR
Poteau Beauty College,Main Campus,301 TURMAN
Rogers State University,Rogers State University,1701 West Will Rogers Blvd.
Rogers State University,Rogers State University Pryor Campus,421 S. Elliott
Rogers State University,Rogers State University Bartlesville Campus,4th and Dewey
Rose State College,Rose State College,6420 S E 15TH
Saint Gregorys University,Main Campus,1900 W MACARTHUR
Saint Gregorys University,SAINT GREGORYS UNIVERSITY TULSA,5801 E. 41st Street  Suite 900
Standard Beauty College of Oklahoma LLC,Main Campus,28 East Second Street
University of Science and Arts of Oklahoma,Main Campus,1727 W. Alabama
Seminole State College,Seminole State College,2701 Boren Blvd
Southern School of Beauty Inc,SOUTHERN SCHOOL OF BEAUTY INC,140 W MAIN ST
State Barber and Hair Design College,Main Campus,2514 S AGNEW AVE
Southeastern Oklahoma State University,Main Campus,Third and University
Southwestern Christian University,Southwestern Christian University,7210 NW 39th Expressway
Southwestern Oklahoma State University,Main Campus,100 CAMPUS DR
Tulsa Community College,Metro Campus,909 South Boston
Tulsa Community College,Northeast Campus,3727 East Apache
Tulsa Community College,Southeast Campus,10300 East 81st Street
Tulsa Community College,West Campus,7505 West 41st Street
Tulsa Welding School,Main Campus,2545 E. 11TH STREET
University of Tulsa,Main Campus,800 Tucker Drive
University of Tulsa,North Campus,2450 East Marshall
Virgils Beauty College,Main Campus    Virgil's Beauty College,111 S NINTH ST
Indian Capital Technology Center-Tahlequah,Main Campus,240 Vo-Tech Road
Western Oklahoma State College,Main Campus,2801 N. Main Street
Woodward Beauty College,Main Campus,502 TEXAS
High Plains Technology Center,High Plains Technology Center,3921 34TH ST
Academy of Hair Design Inc,Main Campus,305 COURT NE
Abdill Career College Inc,Main Campus,843 E MAIN STE 203
The Art Institute of Portland,The Art Institute of Portland,1122 NW Davis
Beau Monde College of Hair Design,Main Campus,1221 SW 12th Avenue
Blue Mountain Community College,Main Campus,2411 NW CARDEN AVE
Central Oregon Community College,Main Campus,2600 NW COLLEGE WAY
Central Oregon Community College,Redmond North Campus,2030 SE College Loop
Chemeketa Community College,Main Campus,4000 LANCASTER DR NE
Chemeketa Community College,Dallas Center,1340 SE Holman Ave
Chemeketa Community College,McMinnville Center,500 North Hill Rd.
Chemeketa Community College,Santiam Center,11656 Sublmitity Rd SE.
Chemeketa Community College,Woodburn Center,120 E Lincoln St.
Chemeketa Community College,CCBI,365 Ferry St SE.
Chemeketa Community College,Chemeketa at Eola,215 Doaks Ferry Rd NW
Clackamas Community College,Main Campus,19600 SOUTH MOLALLA AVE
Clatsop Community College,Main Campus,1653 JEROME AVE
College of Hair Design Careers,COLLEGE OF HAIR DESIGN CAREERS,1684 Clay St NE
Concorde Career Institute,Concorde Career Institute,1425 NE Irving Street
Concordia University,Main Campus,2811 NE Holman Street
College of Legal Arts,Sumner College,8909 SW Barbur Blvd.
East West College of the Healing Arts,Main Campus,525 NE Oregon Street
Eastern Oregon University,Main Campus,ONE UNIVERSITY BLVD
Phagans School of Hair Design,Main Campus,1542 NE Weidler
Eugene Bible College,Eugene Bible College,2155 BAILEY HILL RD
George Fox University,Main Campus,414 N MERIDIAN ST
George Fox University,George Fox University Portland Center,12753 SW 68th Ave
George Fox University,George Fox University -- Boise,ID
George Fox University,George Fox University -- Salem,4600 25th Avenue  NE Suite 150
Phagans Grants Pass College of Beauty,PHAGANS GRANTS PASS COLLEGE OF BEAUTY,304 NE AGNESS AVE.  SUITE F
ITT Technical Institute-Portland,Main Campus,9500 NE CASCADES PKWY
Lane Community College,Main Campus,4000 E 30TH AVE
Lane Community College,LCC at Cottage Grove,1275 South River Road
Lane Community College,LCC at Florence,3149 Oak Street
Lewis & Clark College,Main Campus,0615 SW PALATINE HILL RD
Linfield College,Main Campus,900 SE BAKER
Linn-Benton Community College,LBCC Main Campus,6500 Pacific Blvd SW
Linn-Benton Community College,LBCC Benton Center,757 Polk Ave.
Linn-Benton Community College,Lebanon Center,44 Industrial Way
Marylhurst University,Marylhurst University,17600 PACIFIC HWY
Phagans Medford Beauty School,Phagans Medford Beauty School,2320 POPLAR DR
Northwest College of Hair Design,Northwest College of Hairdesign Main Campus,8307 S.E. Monterey Ave
Mount Angel Seminary,Main Campus,1 ABBEY DR
Mt Hood Community College,Main Campus,26000 SE STARK ST
Mt Hood Community College,The Bruning Center for Allied Health Education,1484 NW Civic Dr.
Multnomah University,Main Campus,8435 NE GLISAN ST
National College of Natural Medicine,NATIONAL COLLEGE OF NATURAL  MEDICINE,049 SW PORTER
Northwest Nannies Institute,NORTHWEST NANNIES INSTITUTE,11830 SW KERR PKY STE 320
Northwest Christian University,Main Campus,828 East 11th Avenue
Oregon Health & Science University,Main Campus,3181 SW SAM JACKSON PK RD L109
Oregon Health & Science University,OGI School of Science & Engineering at OHSU,20000 NW Walker Road
Oregon Institute of Technology,Main Campus,3201 CAMPUS DR
Oregon Institute of Technology,Portland East,7726 SE Harmony Road
Oregon College of Art and Craft,Main Campus,8245 SW BARNES RD
Oregon State University,Main Campus,600 Kerr Administration
University of Oregon,Main Campus,110 JOHNSON HALL
University of Oregon,Oregon Institute of Marine Biology,63466 Basin Boat Dr.
Pacific Northwest College of Art,Main Campus PNCA,1241 NW JOHNSON
Pacific University,Forest Grove Campus,2043 COLLEGE WAY
Phagans Beauty College,Phagans Beauty School,1565 Sw 53rd Street
Phagans Central Oregon Beauty College,Phagans Bend Campus,355 NE 2ND
Phagans School of Beauty,PHAGANS SCHOOL OF BEAUTY,622 LANCASTER  DRIVE NE
Phagans School of Hair Design,Main Campus,16550 SE MCLOUGHLIN
Phagans Tigard Beauty School,Main Campus,8820 SW CENTER
Portland Community College,Sylvania Campus,12000 SW 49th Avenue
Portland Community College,Rock Creek Campus,17705 NW Springville Road
Portland Community College,Cascade Campus,705 N Killingsworth Street
Portland Community College,Central Portland Workforce Training Center,1626 SE Water Avenue
Portland Community College,Southeast Center,2305 SE 82nd AVE
Portland Community College,Capital Center,18624 NW Walker Road
Portland Community College,Metro Center,5600 NE 42nd Avenue
Portland State University,Portland State University,PO Box 751
University of Portland,Main Campus,5000 N WILLAMETTE BLVD
Reed College,Main Campus,3203 SE WOODSTOCK BLVD
Rogue Community College,ROGUE COMMUNITY COLLEGE,3345 REDWOOD HIGHWAY
Rogue Community College,ILLINOIS VALLEY LEARNING CENTER,24353 REDWOOD HIGHWAY
Rogue Community College,HCH/FIRESTATION,214 SW FOURTH
Rogue Community College,RIVERSIDE CAMPUS,227 E. Ninth Street
Rogue Community College,TABLE ROCK CAMPUS,7800 PACIFIC AVENUE
Roseburg Beauty College,Main Campus,700 SE STEPHENS ST
Pioneer Pacific College,Main Campus,27501 SW PARKWAY AVE
Pioneer Pacific College,Pioneer Pacific College/Clackamas,8800 SE Sunnyside Road
Pioneer Pacific College,Pioneer Pacific College/Eugene,3800 Sports Way
Pioneer Pacific College,Oregon Culinary Institute,1717 SW Madison
Springfield College of Beauty,Main Campus,307 Q STREET
Southern Oregon University,Ashland Campus,1250 SISKIYOU BLVD
Southwestern Oregon Community College,Southwestern Oregon Community College,1988 NEWMARK AVE
Treasure Valley Community College,Main Campus,650 College Blvd.
Umpqua Community College,Main Campus,1140 College Rd.
Umpqua Community College,Harold Woolley Adult Basic Education Center,1634 W. Harvard
Umpqua Community College,Umpqua Community College JOBS Center,2555 NE Diamond Lake Blvd
Umpqua Community College,Construction Technology Center (Starlight),400 Grant Smith Road
Umpqua Community College,CDL Truck Driving,6482 Dole Road
Warner Pacific College,Main Campus,2219 SE 68TH AVE
Corban College,CORBAN COLLEGE,5000 DEER PARK DR SE
College of Cosmetology,College of Cosmetology,357 East Main St.
Everest College-Portland,Everest College,425 SW WASHINGTON
Western Seminary,Main Campus,5511 SE HAWTHORNE BLVD
Western Seminary,WESTERN SEMINARY-SAN JOSE,16330 LOS GATOS BLVD
Western Seminary,WESTERN SEMINARY - SACRAMENTO,2924 BECERRA WAY
Willamette University,Main Campus,900 STATE ST
Western Oregon University,Main Campus,345 N MONMOUTH AVE
Western States Chiropractic College,Western States Chiropractic College,2900 NE 132ND AVE
Abington Memorial Hospital Dixon School of Nursing,Main Campus,2500 MARYLAND RD STE 200
Academy of Hair Design,Main Campus,1057A NORTH CHURCH STREET
Keystone Technical Institute,Main Campus,2301 ACADEMY DR
Bryn Athyn College of the New Church,Main Campus,801 Tomlinson Rd
Academy of Vocal Arts,Academy of Vocal Arts,1920 SPRUCE ST
Albright College,ALBRIGHT COLLEGE,1621 N. 13th St.
All-State Career School,Main Campus,501 SEMINOLE ST
Community College of Allegheny County,Allegheny Campus,801 Ridge Avenue
Community College of Allegheny County,Boyce Campus,595 Beatty Road
Community College of Allegheny County,South Campus,1750 Clariton Road
Community College of Allegheny County,North Campus,8701 Perry Highway
Allegheny College,Main Campus,520 N MAIN ST
The Vision Academy,Allentown School of Cosmetology,1921 UNION BLVD
DeSales University,DeSales University (Main Campus),2755 STATION AVE
Altoona Beauty School Inc,Main Campus,1528 VALLEY VIEW BLVD.
Alvernia College,Main Campus,400 SAINT BERNARDINE ST
Magnolia School,Main Campus,50 E BUTLER PIKE
Magnolia School,AMERICAN BEAUTY ACADEMY,6912 FRANKFORD AVE
Antonelli Institute,Main Campus,300 MONTGOMERY AVE
The Art Institutes of York-PA,The Art Institute of York,1409 WILLIAMS RD
The Art Institute of Philadelphia,The Art Institute of Philadelphia,1622 CHESTNUT STREET
Career Training Academy,Career Training Academy,950 5TH AVE
The Art Institute of Pittsburgh,The Art Institute of Pittsburgh,420 BOULEVARD OF THE ALLIES
Automotive Training Center,Main Campus,114 PICKERING WAY
Baptist Bible College and Seminary,Main Campus,538 VENARD RD
Community College of Beaver County,Community College of Beaver County,ONE CAMPUS DR
Arcadia University,Main Campus,450 S EASTON RD
Bidwell Training Center Inc,Main Campus,1815 METROPOLITAN ST
Bloomsburg University of Pennsylvania,Main Campus,400 E SECOND ST
Bradford School,Main Campus,125 West Station Square Drive
Brandywine School of Nursing,Main Campus,215 REECEVILLE RD
Bryn Mawr College,Main Campus,101 N MERION AVE
Bucknell University,Main Campus,219 Marts Hall
Bucks County Community College,Main Campus,275 SWAMP RD
Buck's County School of Beauty Culture Inc,Main Campus,1761 Bustleton Pike
Butler Beauty School,Butler Beauty School,233 S MAIN ST
Butler County Community College,Main Campus,107 college dr
Cabrini College,Main Campus,610 KING OF PRUSSIA RD
California University of Pennsylvania,Main Campus,250 UNIVERSITY AVE
California University of Pennsylvania,Southpointe Campus,135 Technology Drive
California University of Pennsylvania,Cal U Pittsburgh,425 Sixth Street
Calvary Baptist Theological Seminary,Main Campus,1380 S. Valley Forge Rd.
Cambria Rowe Business College,Main Campus,221 CENTRAL AVE
Carlow University,Main Campus,3333 FIFTH AVE
Carlow University,Greensburg,Rt 136 R.D. 6 Box 320
Carnegie Mellon University,Main Campus,5000 FORBES AVE
Carnegie Mellon University,Adelaide,Victoria Square and Wakefield Streets
Carnegie Mellon University,Qatar,Education City
Carnegie Mellon University,Silicon Valley,Building 23
Carnegie Mellon University,New York City,55 Broad St
Carnegie Mellon University,Los Angeles,4640 Lankershim Blvd
Cedar Crest College,Cedar Crest College,100 COLLEGE DR
Central Pennsylvania College,Main Campus,COLLEGE HILL & VALLEY RDS
Center for Innovative Training and Education,Main Campus,714 MARKET ST STE 433
Chatham University,Main Campus,WOODLAND RD
Chestnut Hill College,Main Campus,9601 GERMANTOWN AVE
Cheyney University of Pennsylvania,Main Campus,CHEYNEY AND CREEK RDS
CHI Institute,Main Campus,177 Franklin Mills Blvd
Citizens School of Nursing,Main Campus,651 Fourth Avenue
Clarion University of Pennsylvania,Main Campus,840 WOOD ST
Clarion University of Pennsylvania,Venango Campus,W FIRST ST
YTI Career Institute,Main Campus,401 East  Winding Hill Road  Suite 101
Conemaugh Valley Memorial Hospital,Main Campus,1086 FRANKLIN ST
Consolidated School of Business,Main Campus,1605 CLUGSTON RD
The Curtis Institute of Music,Main Campus,1726 LOCUST ST
Dean Institute of Technology,Main Campus,1501 W LIBERTY AVE
Delaware County Community College,Marple Campus,901 S MEDIA LINE RD
Delaware Valley Academy of Medical and Dental Assistants,Main Campus,3330 GRANT AVE
Delaware Valley College,Delaware Valley College,700 E BUTLER AVE
Dickinson College,Main Campus,College and Louther Streets
The Dickinson School of Law of the Pennsylvania State University,Main Campus,150 SOUTH COLLEGE ST
Douglas Education Center,Main Campus,130 7TH ST
Drexel University,University City Main Campus,3141 CHESTNUT ST
Drexel University,Center City Hahnemann Campus,245 N. 15th Street
Drexel University,Queen Lane Medical Campus,2900 W. Queen Lane
Du Bois Business College,Main Campus,ONE BEAVER DR
Everest Institute-Pittsburgh,Main Campus,100 Forbes Avenue Suite1200
Duquesne University,Main Campus,ADMINISTRATION BLDG 600 FORBES AVE
Duquesne University,Capital Region Campus,3601 Simpson Ferry Road
Duquesne University,Italian Campus,Via Nazareth
East Stroudsburg University of Pennsylvania,Main Campus,200 PROSPECT ST
Eastern University,Main Campus,1300 EAGLE RD
Eastern University,Palmer Theological Seminary,6 LANCASTER AVE
Eastern University,Eastern University Philadelphia,1800 John F. Kennedy Blvd
Eastern University,Eastern University Harrisburg East,750 E. Park Drive
Eastern University,Eastern University Philadelphia NC,3300 Henry Ave
Eastern University,Esperanza College,4261 N. Fifth Street
