Noncampuscrime060708[1,2,3,4].csv
The University of Texas Health Science Center at San Antonio,Laredo,1937 Bustamante Street,Laredo
The University of Texas Health Science Center at San Antonio,Edinburg,1214 W. Schunior,Edinburg
The University of Texas Medical Branch,Main Campus,301 UNIVERSITY BLVD,GALVESTON
Texas State Technical College Waco,Waco Campus,3801 Campus Dr.,Waco
Texarkana College,Main Campus,2500 N ROBISON RD,TEXARKANA
Texas A & M University-Kingsville,Texas A&M University Kingsville,700 UNIVERSITY BLVD,KINGSVILLE
Texas A & M University at Galveston,Mitchell Campus,200 SEAWOLF PARKWAY,GALVESTON
Texas A & M University,Texas A&M University,Main Campus,COLLEGE STATION
Texas A & M University,Texas A&M University at Qatar,NULL,Dohar
The University of Texas at Arlington,Main Campus,701 S NEDDERMAN DR,ARLINGTON
The University of Texas at Austin,Main Campus,Main Building Suite 400,AUSTIN
The University of Texas at Dallas,Main Campus,800 W. Campbell,RICHARDSON
The University of Texas at El Paso,Main Campus,500 W UNIVERSITY AVE,EL PASO
The University of Texas at Tyler,Main Campus,3900 UNIVERSITY BLVD,TYLER
The University of Texas at Tyler,The University of Texas Health Center at Tyler,11937 US HWY 271,TYLER
The University of Texas at Tyler,The University of Texas Longview University Center,3201 North Eastman Road,Longview
The University of Texas at Tyler,The University of Texas @ Tyler - Palestine Campus,1820 W. Spring St.,Palestine
Texas Chiropractic College Foundation Inc,Main Campus,5912 SPENCER HWY,PASADENA
Texas Christian University,Main Campus,2800 S UNIVERSITY DR,FT WORTH
Texas College,Main Campus,2404 N. GRAND AVENUE,Tyler
University of North Texas Health Science Center,University of North Texas Health Science Center,3500 CAMP BOWIE BLVD,FT WORTH
Texas Lutheran University,Main Campus,1000 W. COURT ST,SEGUIN
The University of Texas of the Permian Basin,UTPB - Main Campus,4901 E UNIVERSITY,ODESSA
The University of Texas at San Antonio,Main Campus,One UTSA Circle,San Antonio
The University of Texas at San Antonio,Downtown Campus,501 West Durango Street,San Antonio
Texas School of Business Inc,Texas School of Business Inc,711 EAST AIRTEX DR,HOUSTON
Texas Southern University,Main Campus,3100 CLEBURNE ST,HOUSTON
Texas Southmost College,UTB/TSC Main Campus,80 FORT BROWN,BROWNSVILLE
Texas Southmost College,South Padre Island Center,2 Wallace L. Reed Road,South Padre Island
Texas Southmost College,Laguna Madre Learning Center,Highway 100,Port Isabel
Texas Southmost College,ITECC,301 Mexico Blvd.,Brownsville
Texas Tech University,Texas Tech University,Broadway and University Avenue,LUBBOCK
Texas Vocational Schools Inc,Main Campus,1921 E RED RIVER,VICTORIA
Texas Wesleyan University,Main Campus,1201 WESLEYAN ST,FT WORTH
Texas Wesleyan University,School of Law,1515 Commerce Street,Fort Worth
Texas Woman's University,Main Campus,301 ADMINISTRATION DR,DENTON
Texas Woman's University,PARKLAND,1810 INWOOD,DALLAS
Texas Woman's University,PRESBYTERIAN,8194 WALNUT HILL,DALLAS
Texas Woman's University,HOUSTON,6700 FANNIN,HOUSTON
Trinity University,Trinity University,One Trinity Place,SAN ANTONIO
The University of Texas Health Science Center at Houston,Main Campus,7000 FANNIN,SUITE 1700
Texas State Technical College Harlingen,Texas State Technical College Harlingen,1902 North Loop 499,HARLINGEN
Texas State Technical College-West Texas,TSTC - WT Sweetwater Campus,300 Homer K. Taylor Drive,SWEETWATER
Texas State Technical College-West Texas,TSTC - WT  Breckenridge Extension,307 N. Breckenridge Ave,Breckenridge
Texas State Technical College-West Texas,TSTC - WT Abilene Extension,650 E. Hwy 80,Abilene
Texas State Technical College-West Texas,TSTC - WT Brownwood Campus,305 Booker Street,Brownwood
Texas Tech University Health Sciences Center,Main Campus-Lubbock HSC,3601 4TH ST RM 2C400,LUBBOCK
Texas Tech University Health Sciences Center,Amarillo HSC Campus,1300 Coulter,Amarillo
Texas Tech University Health Sciences Center,El Paso HSC Campus,4800 Alberta Avenue,El Paso
Texas Tech University Health Sciences Center,Odessa HSC Campus,800 West 4th Street,Odessa
Tyler Junior College,Tyler Campus,1400 EAST FIFTH ST,TYLER
Universal Technical Institute of Texas Inc,UNIVERSAL TECHNICAL INSTITUTE OF TEXAS,INC.,721 LOCKHAVEN DR
University of Cosmetology Arts and Sciences,Main Campus,8401 N 10TH ST,MCALLEN
Vernon College,Vernon Campus,4400 COLLEGE DR,VERNON
Vernon College,Skills Training Center,2813 Central Expressway East,Wichita Falls
Vernon College,Century City Center,4105 Maplewood Ave.,Wichita Falls
Vernon College,Sheppard Learning Center,Box 6097,Sheppard Air Force Base
Victoria Beauty College Inc,Main Campus,1508 N Laurent St,Victoria
Victoria College,The Victoria College,2200 E RED RIVER,VICTORIA
Victoria College,Cuero Vocational Nursing Program Campus,2550 N.Esplanade,Cuero
Victoria College,Hallettsville Vocational Nursing Program Campus,1410 N.Texana,Hallettsville
Victoria College,The Victoria College Gonzales Center,424 E.Sara DeWitt Dr.,Gonzales
Victoria College,The Victoria College Calhoun County Center,900 N.Virginia,Port Lavaca
Wayland Baptist University,Main Campus,1900 W 7TH,PLAINVIEW
Wayland Baptist University,Lubbock Center,2002 West Loop 289,Ste. 120
Wayland Baptist University,Wichita Falls Center,4110 Call Field Road,Wichita Falls
Wayland Baptist University,San Antonio Center,11550 IH 35 N,San Antonio
Wayland Baptist University,Amarillo Center,4530 Canyon Drive,Amarillo
Wayland Baptist University,Albuquerque Campus,5325 Wyoming NE,Albuquerque
Wayland Baptist University,Anchorage Campus,7801 E. 32nd Avenue,Anchorage
Wayland Baptist University,Fairbanks Campus,2623Wabash Avenue,Suite 109
Wayland Baptist University,Phoenix Campus,2702 North 3rd St.  Ste. 1050,Phoenix
Wayland Baptist University,Hawaii Center,99-080 Kauhale St.,D-14
Wayland Baptist University,Clovis Center,121 East 4th Street,Clovis
Wayland Baptist University,Sierra Vista Campus,400 W. Fry Blve.,Suite #14
Wayland Baptist University,Altus Campus,104 S. 7th St.,Bldg. #225
Wayland Baptist University,Tucson Campus,6235 E. Broadway,Tucson
Wayland Baptist University,Kenya Campus,PO Box 385-00217,Brakenhurst Baptist International Centre
Weatherford College,Main Campus,225 COLLEGE PARK DRIVE,WEATHERFORD
West Texas A & M University,Main Campus,2501 4TH AVE WTAMU BOX 60999,CANYON
Western Texas College,Western Texas College,6200 COLLEGE AVE,SNYDER
Wharton County Junior College,Main Campus,911 BOLING HWY,WHARTON
Wharton County Junior College,Fort Bend Technical Center,5333 FM 1640,Richmond
Wharton County Junior College,Sugar Land Campus,550 Julie Rivers Drive,Sugar Land
Wiley College,Main Campus,711 Wiley Avenue,Marshall
AmeriTech College,Main Campus,1675 N Freedom Blvd  Bldg # 5,Provo
Bridgerland Applied Technology College,Main Campus,1301 N 600 W,LOGAN
Brigham Young University,Brigham Young University (230038),MAIN CAMPUS,PROVO
Brigham Young University,BYU Salt Lake Center,345 West North Temple Street,3 Triad Center
Brigham Young University,BYU Washington Seminar,2520 L St  NW,Washington
Brigham Young University,BYU London Center,27 Palace Court,London
Brigham Young University,BYU Jerusalem Center,Mt. Scopus,Near Augusta Victoria Hospital
Brigham Young University-Hawaii,Brigham Young University-Hawaii,55-220 Kulanui Street,Laie
Utah Career College,Utah Career College,1902 W 7800 S,West Jordan
Utah Career College,Utah Career College-Layton,869 West Hill Field RD,Layton
Cameo College of Essential Beauty,Main Campus,124 East 5770 South,Murray
Certified Careers Institute,Main Campus,1385 W 2200 S STE 100,SALT LAKE CITY
College of Eastern Utah,College of Eastern Utah,451 E 400 N,PRICE
College of Eastern Utah,College of Eastern Utah San Juan Campus,639 W. 1st S.,Blanding
College of Eastern Utah,College of Eastern Utah Emery Campus,975 N Center Street,Castle Dale
College of Eastern Utah,Monument Valley,639 West 1st South,Blanding
Sherman Kendall's Academy-Sugarhouse,SHERMAN KENDALL ACADEMY OF BEAUTY ARTS & SCIENCES,2230 S 700 E,SALT LAKE CITY
Sherman Kendalls Academy of Beauty Arts & Sciences,Main Campus,7353 S 900 E,SALT LAKE CITY
Davis Applied Technology College,Main Campus,550 E 300 S,KAYSVILLE
Dixie State College of Utah,Main Campus,225 S 700 E,ST GEORGE
Evans Hairstyling College,Main Campus,169 No. 100 We.,CEDAR CITY
Evans Hairstyling College,EVANS HAIRSTYLING COLLEGE,955 E TABERNACLE,ST GEORGE
Paul Mitchell the School-Salt Lake City,Paul Mitchell the School,Salt Lake City Campus,1969 E Murray Holladay Rd
Premier Hair Academy,Main Campus,4062 s. 4000 w.,WEST VALLEY
Eagle Gate College,Main Campus,5588 S Green St.,Murray
ITT Technical Institute-Murray,Main Campus,920 W LEVOY DR,MURRAY
Latter-day Saints Business College,Main Campus,95 North 300 West,SALT LAKE CITY
Everest College-West Valley City,Main Campus,3280 West 3500 South,West Valley City
Ogden-Weber Applied Technology College,Ogden-Weber Applied Technology College,200 N Washington Blvd,OGDEN
Snow College,Main Campus,150 E COLLEGE AVE,EPHRAIM
Snow College,SNOW COLLEGE-RICHFIELD CAMPUS,800 W 200 S,RICHFIELD
Southern Utah University,Main Campus,351 WEST University Blvd.,CEDAR CITY
Stevens-Henager College-Ogden,Main Campus,1350 W. 1890 S.,OGDEN
Stevens-Henager College of Business-Provo,STEVENS-HENAGER COLLEGE,1476 South Sandhill Road,Orem
Uintah Basin Applied Technology College,UBATC Roosevelt Campus,1100 E LAGOON ST 124-5,ROOSEVELT
Uintah Basin Applied Technology College,UBATC Vernal Campus,1800 West 500 North,Vernal
Utah State University,Main Campus,OLD MAIN HILL,LOGAN
Utah Valley University,Main Campus,800 W University Parkway,OREM
Salt Lake Community College,Taylorsville Redwood Campus,PO BOX 30808,SALT LAKE CITY
Salt Lake Community College,SOUTH CITY CAMPUS,1575 South State Street,Salt Lake City
Salt Lake Community College,SANDY CAMPUS,830 East 9400 South,Sandy
Salt Lake Community College,JORDAN CAMPUS,3491 West Wights Fort Road,West Jordan
Salt Lake Community College,LARRY H. MILLER CAMPUS,9750 South 300 West,Sandy
Salt Lake Community College,MEADOWBROOK CAMPUS,250 West 3900 South,South Salt Lake City
Salt Lake Community College,LIBRARY SQUARE CAMPUS,231 East 400 South,Salt Lake City
University of Utah,Main Campus,201 PRESIDENTS CIRCLE,SALT LAKE CITY
Weber State University,Ogden Campus,3750 HARRISON BLVD,OGDEN
Westminster College,Main Campus,1840 S 1300 E,SALT LAKE CITY
Bennington College,Main Campus,One College Drive,Bennington
Burlington College,Main Campus,95 NORTH AVE,BURLINGTON
Castleton State College,Main Campus,SEMINARY ST.,CASTLETON
Champlain College,Main Campus,163 S WILLARD ST,BURLINGTON
Community College of Vermont,660 Elm Street,PO Box 489,Montpelier
Goddard College,Main Campus,123 PITKIN ROAD,PLAINFIELD
Green Mountain College,Main Campus,One Brennan Cir,POULTNEY
Green Mountain College,Killington Campus,2500 Killington Road,Killington
Johnson State College,Johnson State College,337 College Hill,JOHNSON
Lyndon State College,Main Campus,1001 COLLEGE RD,LYNDONVILLE
Marlboro College,Main Campus,2582 SOUTH RD,MARLBORO
Middlebury College,Main Campus,OLD CHAPEL ROAD,MIDDLEBURY
Middlebury College,Middlebury College Bread Loaf Campus,Route 125,Ripton
New England Culinary Institute,Main Campus,56 College Street,MONTPELIER
Norwich University,Main Campus,158 Harmon Drive,NORTHFIELD
O'Briens Training Center,Main Campus,1475 SHELBURNE RD,SOUTH BURLINGTON
Saint Michaels College,Main Campus,1 WINOOSKI PARK,COLCHESTER
School for International Training,Main Campus,KIPLING RD,BRATTLEBORO
College of St Joseph,Main Campus,71 CLEMENT ROAD,RUTLAND
Southern Vermont College,Main Campus,982 MANSION DR,BENNINGTON
Sterling College,Main Campus,16 Sterling Drive,CRAFTSBURY COMMON
Vermont Law School,Main Campus,CHELSEA ST,SOUTH ROYALTON
Vermont Technical College,Main Campus,1 Main Street,Randolph Center
University of Vermont,Main Campus,85 S PROSPECT ST,BURLINGTON
Woodbury College,Main Campus,660 ELM ST,MONTPELIER
Bar Palma Beauty Careers Academy,Main Campus,3535-D FRANKLIN RD SW,ROANOKE
Advanced Technology Institute,Main Campus,5700 SOUTHERN BLVD STE 100,VIRGINIA BEACH
Advanced Technology Institute,ATI - Witchduck,129 N. Witchduck Rd,Virginia Beach
Averett University,Main Campus,420 W MAIN ST,DANVILLE
Blue Ridge Community College,Weyers Cave Campus,One College Lane,WEYERS CAVE
Bluefield College,Main Campus,3000 COLLEGE DR,BLUEFIELD
Bridgewater College,Main Campus,402 E COLLEGE ST,BRIDGEWATER
College of William and Mary,Main Campus,PO Box 8795,WILLIAMSBURG
MedSpa Careers Institute,Medical Careers College - Richmond South,800 Moorefield Park Drive,#302
Medical Careers College,Medical Careers College - Virginia Beach,5501 Greenwich Rd,Virginia Beach
MedSpa Careers Institute,Medical Careers College - Richmond West,2809 Emerywood Pkwy,Suite 405
MedSpa Careers Institute,Medical Careers College - Newport News,1001 Omni Blvd,#305
Regent University,Main Campus,1000 REGENT UNIVERSITY DR,VIRGINIA BEACH
Central School of Practical Nursing,Main Campus,1330 N Millitary Hwy,Norfolk
Central Virginia Community College,Main Campus,3506 WARDS RD,LYNCHBURG
Central Virginia Community College,Altavista Center,701 Fifth Street,Altavista
Central Virginia Community College,Brookneal Center,204 Web Street,Brookneal
Central Virginia Community College,Bedford Center,1633 Venture Blvd.,Bedford
Central Virginia Community College,Appomattox Center,136 Carver Lane,Appomattox
Christopher Newport University,Main Campus,1 UNIVERSITY PLACE,NEWPORT NEWS
Suffolk Beauty Academy,Main Campus,860 PORTSMOUTH BLVD,SUFFOLK
Bryant and Stratton College-Virginia Beach,Main Campus,301 CENTRE POINTE DR,VIRGINIA BEACH
Bryant and Stratton College-Richmond,Main Campus,8141 HULL ST RD,RICHMOND
Jefferson College of Health Sciences,Main Campus,920 S JEFFERSON ST,ROANOKE
Dabney S Lancaster Community College,Main Campus,1000 Dabney Drive,Clifton Forge
Danville Community College,Main Campus,1008 S MAIN ST,DANVILLE
Eastern Virginia Medical School,Main Campus,700 W. Olney,NORFOLK
Centura College,Centura College,2697 Dean Drive,Virginia Beach
Emory and Henry College,Main Campus,30461 Garnand Drive,EMORY
Eastern Mennonite University,Main Campus,1200 PARK RD,HARRISONBURG
Eastern Shore Community College,Main Campus,29300 LANKFORD HWY,MELFA
Ferrum College,Ferrum College,215 Ferrum Mountain Road,FERRUM
George Mason University,Main Campus,4400 UNIVERSITY DR,FAIRFAX
Germanna Community College,Locust Grove Campus,2130 GERMANNA HWY,LOCUST GROVE
Germanna Community College,Fredericksburg Area Campus,10000 Germanna Point Drive,Fredericksburg
Germanna Community College,Daniel Technology Center,18121 Technology Drive,Culpeper
Hampden-Sydney College,Main Campus,College Road,Box 128
Hampton University,Main Campus,EAST QUEEN STREET,HAMPTON
Hampton University,HAMPTON UNIVERSITY COLLEGE OF VA BEACH,253 TOWN CENTER DRIVE,VIRGINIA BEACH
Hampton University,HAMPTON UNIVERSITY CONTINUING ED ROANOKE BRANCH,108 NORTH JEFFERSON STREET SUITE 509,ROANOKE
Hollins University,Hollins University Campus,7916 WILLIAMSON RD NW,ROANOKE
J Sargeant Reynolds Community College,Parham Road Campus,1651 E. Parham Road,RICHMOND
J Sargeant Reynolds Community College,Downtown Campus,700 E. Jackson Street,Richmond
J Sargeant Reynolds Community College,Western Campus,1851 Dickenson Road,Goochland
James Madison University,Main Campus-Harrisonburg,821 South Main Street  MSC 6810,HARRISONBURG
James Madison University,Madison House (London Semester - Branch Campus),14 Bedford Place,London
James Madison University,Antwerp Hall,JMU Semester in Antwerp,Belgium
James Madison University,Palazzo Capponi (JMU's Semester in Florence,Italy),Via de-Michelozzi # 2
John Tyler Community College,Main Campus,13101 JEFFERSON DAVIS HWY,CHESTER
John Tyler Community College,Featherstone,1807 Hugeunot Road,Midlothian
John Tyler Community College,Midlothian,800 Charter Colony Parkway,Midlothian Virginia
John Tyler Community College,Johnston-Willis Campus,1051 Johnston Willis Drive,Richmond
Everest College-Newport News,Main Campus,803 DILIGENCE DRIVE,NEWPORT NEWS
Liberty University,Main Campus,1971 UNIVERSITY BLVD,LYNCHBURG
Longwood University,Main Campus,201 HIGH ST,FARMVILLE
Lord Fairfax Community College,Middletown,173 SKIRMISHER LANE,MIDDLETOWN
Lord Fairfax Community College,Fauquier,6480 COLLEGE STREET,WARRENTON
Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing,Main Campus,4169 Pruden Blvd,SUFFOLK
Lynchburg College,Main Campus,1501 LAKESIDE DR,LYNCHBURG
Lynchburg General Hospital School of Nursing,Main Campus,1901 TATE SPRINGS RD,LYNCHBURG
Mary Baldwin College,Main Campus,NEW & FREDERICK ST,STAUNTON
University of Mary Washington,University of Mary Washington,1301 COLLEGE AVE,FREDERICKSBURG
Marymount University,Main Campus,2807 N GLEBE RD,ARLINGTON
Danville Regional Medical Center School of Health Professions,DRMC School of Health Professions,142 S MAIN ST,DANVILLE
Mountain Empire Community College,Main Campus,U.S. Highway 23 South,BIG STONE GAP
National College-Salem,National College - Salem,1813 E MAIN ST,SALEM
National College-Salem,National College - Charlottesville,1819 Emmet Street,Charlottesville
National College-Salem,National College -Martinsville,905 Memorial Blvd.,Martinsville
National College-Salem,National College- Lynchburg,104 Candlewood Court,Lynchburg
National College-Salem,National College - Danville,336 Old Riverside Drive,Danville
National College-Salem,National College -Bluefield,100 Logan Street,Bluefield
National College-Salem,National College - Harrisonburg,1515 Country Club Road,Harrisonburg
National College-Salem,National College of Business & Technology-Bristol,1328 Highway 11W,Bristol
National College-Salem,National College of Business & Technology-Knoxville,8415 Kingston Pike,Knoxville
National College-Salem,National College -  Cincinnati,6871 Steger Drive,Cincinnati
National College-Salem,National College  - Kettering,1837 Woodman Center Drive,Kettering
National College-Salem,National College-Youngstown,3487 Belmont Avenue,Youngstown
New River Community College,Main Campus,ROUTE 373,DUBLIN
Sentara School of Health Professions,Main Campus,1441 CROSSWAYS BLVD SUITE 105,CHESAPEAKE
Tidewater Tech-Trades,Main Campus,5301 E Princess Anne Rd,NORFOLK
Norfolk State University,Norfolk State University,700 PARK AVE,NORFOLK
Northern Virginia Community College,Main Campus,4001 WAKEFIELD CHAPEL RD,ANNANDALE
Northern Virginia Community College,Alexandria Campus,3001 N. Beauregard Street,Alexandria
Northern Virginia Community College,Loudoun Campus,1000 Harry Flood Byrd Highway,Sterling
Northern Virginia Community College,Manassas Campus,6901 Sudley Road,Manassas
Northern Virginia Community College,Woodbridge Campus,15200 Neabsco Mills Road,Woodbridge
Northern Virginia Community College,Medical Education Campus,6699 Springfield Drive,Springfield
Old Dominion University,Main Campus,5215 HAMPTON BLVD,NORFOLK
Patrick Henry Community College,Main Campus,645 Patriot Avenue,Martinsville
Paul D Camp Community College,Franklin Campus,100 N COLLEGE DR,FRANKLIN
Paul D Camp Community College,Hobbs Suffolk Campus,271 Kenyon Road,Suffolk
Southside Regional Medical Center,SRMC Professional Schools,737 South Sycamore Street,Petersburg
Miller-Motte Technical College,Main Campus,1011 Creekside Lane,Lynchburg
Piedmont Virginia Community College,MAIN CAMPUS,501 COLLEGE DR,CHARLOTTESVILLE
Radford University,Main Campus,801 East Main St.,RADFORD
Legends Institute,Main Campus,2323 Memorial Avenue Unit 27,LYNCHBURG
Randolph-Macon College,Main Campus,204 HENRY ST,ASHLAND
Randolph College,RANDOLPH COLLEGE,2500 RIVERMONT AVE,LYNCHBURG
Rappahannock Community College,Glenns Campus,12745 College Drive,Glenns
Rappahannock Community College,Warsaw Campus,52 Campus Drive,Warsaw
Virginia Career Institute,Main Campus,6300 Center Dr #22,Norfolk
Richard Bland College of the College of William and Mary,Main Campus,11301 JOHNSON RD,PETERSBURG
Bon Secours Memorial School of Nursing,Main Campus,8550 Magellan Parkway #1100,Richmond
University of Richmond,Main Campus,28 WESTHAMPTON WAY,RICHMOND
Riverside School of Health Careers,Main Campus,316 Main St.,Newport News
Roanoke College,Main Campus,221 COLLEGE LN,SALEM
Bon Secours St Mary's Hospital School of Medical Imaging,Main campus,8550 Magellan Pkwy Ste 700,Richmond
Saint Pauls College,Saint Paul's College,115 COLLEGE DRIVE,LAWRENCEVILLE
Shenandoah University,Main Campus,1460 UNIVERSITY DR,WINCHESTER
Southern Virginia University,Main Campus,ONE UNIVERSITY HILL DR,BUENA VISTA
Southside Virginia Community College,Christanna campus,109 CAMPUS DR,ALBERTA
Southwest Virginia Community College,Main Campus,P.O. Box SVCC,RICHLANDS
Springfield Beauty Academy,Annandale Campus,4223 ANNANDALE RD,ANNANDALE
Staunton School of Cosmetology,Main Campus,128 E BEVERLEY ST,STAUNTON
Sweet Briar College,Main Campus,RTE 29,SWEET BRIAR
Thomas Nelson Community College,Main Campus,99 Thomas Nelson Drive,Hampton
Tidewater Community College,Norfolk Campus,300 Granby Street,Norfolk
Tidewater Community College,Chesapeake Campus,1428 Cedar Road,Chesapeake
Tidewater Community College,Portsmouth Campus,7000 College Drive,Portsmouth
Tidewater Community College,Virginia Beach Campus,1700 College Cresent,Virginia Beach
Tidewater Community College,Visual Arts Center,340 High Street,Portsmouth
Union Theological Seminary & Presbyterian School of Christian Education,Main Campus,3401 Brook Road,Richmond
Union Theological Seminary & Presbyterian School of Christian Education,UNION THEOLOGICAL SEMINARY & PRESBYTERIAN SCHOOL-C,1900 SELWYN AVE,CHARLOTTE
The University of Virginia's College at Wise,University of VA's College at Wise,1 COLLEGE AVE,WISE
Virginia Highlands Community College,Main Campus,100 VHCC Drive,ABINGDON
Virginia Intermont College,Virginia Intermont College,1013 MOORE ST,BRISTOL
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State Univ,Sterrett Facilities Complex,BLACKSBURG
Virginia Polytechnic Institute and State University,Northern Virginia Center,7054 Haycock Road,Falls Church
Virginia Polytechnic Institute and State University,Southwest Virginia Higher Education Center,P. O. Box 1987,Abindgon
Virginia Polytechnic Institute and State University,Roanoke Valley Graduate Center,108 N. Jefferson Street,Roanoke
Virginia Polytechnic Institute and State University,Virginia Tech Hampton Roads Center,418 Pembroke Four,Virginia Beach
Virginia Polytechnic Institute and State University,Washington-Alexandria Center,1001 Prince Street,
Virginia Polytechnic Institute and State University,Marion duPont Scott Equine Medical Center,Old Waterford Road,Leesburg
Virginia Polytechnic Institute and State University,Center for European Studies and Architecture,6826 Riva San Vitale,Switzerland
Virginia Western Community College,Main Campus,3095 COLONIAL AVE SW,ROANOKE
Virginia Commonwealth University,Monroe Park Campus,910 W FRANKLIN ST,RICHMOND
Virginia Commonwealth University,MCV Campus,910 W. Franklin St.,Richmond
University of Virginia-Main Campus,Main Campus,1827 University Ave,CHARLOTTESVILLE
University of Virginia-Main Campus,University of  Virginia Northern Virginia Center,7054 Haycock Road,Falls Church
University of Virginia-Main Campus,University of Virginia Roanoke Center,108 N. Jefferson Street,Suite 507
University of Virginia-Main Campus,University of Virginia Richmond Center,2810 North Parham Road,Suite 300
University of Virginia-Main Campus,University of Virginia Southwest Programs,One Partnership Circle,Abingdon
University of Virginia-Main Campus,University of Virginia Hampton Roads Center,291 Independence Blvd,Pembroke Four
Virginia Military Institute,Virginia Military Institute,Letcher Ave.,LEXINGTON
Virginia School of Hair Design,Virginia School of Hair Design,101 West Queens Way,HAMPTON
Virginia University of Lynchburg,Main Campus,2058 GARFIELD AVE,LYNCHBURG
Virginia State University,Main Campus,ONE HAYDEN STREET,PETERSBURG
Virginia Union University,Main Campus,1500 N LOMBARDY ST,RICHMOND
Virginia Wesleyan College,VIRGINIA WESLEYAN COLLEGE,1584 WESLEYAN DR,NORFOLK
Wards Corner Beauty Academy,Main Campus,7525 TIDEWATER DR STE 200,NORFOLK
Washington and Lee University,Main Campus,Washington Street,LEXINGTON
Sanford-Brown College,Sanford-Brown College,1980 GALLOWS RD,VIENNA
Washington County Adult Skill Center,Washington County Adult Skill Center,848 THOMPSON DR,ABINGDON
Woodrow Wilson Rehabilitation Center,Woodrow Wilson Rehabilitation Center,Route 250,FISHERSVILLE
Wytheville Community College,Wytheville Community College Main Campus,1000 E MAIN ST,WYTHEVILLE
Academy of Hair Design,Main campus,208 S WENATCHEE AVE,WENATCHEE
The Art Institute of Seattle,The Art Institute of Seattle,2323 ELLIOTT AVE,SEATTLE
Evergreen Beauty & Barber College,Evergreen Beauty College,14045 NE 20TH ST,BELLEVUE
Bellevue College,Main Campus,3000 LANDERHOLM CIRCLE SE,BELLEVUE
Bellingham Beauty School,Main Campus,4192 Meridian Street,BELLINGHAM
Bellingham Technical College,Main Campus,3028 Lindbergh Avenue,Bellingham
Big Bend Community College,Main Campus,7662 CHANUTE ST,MOSES LAKE
Everest College-Bremerton,Main Campus,155 Washington Ave,Ste 200
Everest College-Renton,Evererst College Renton,981 Powell Avenue,SW
Central Washington University,Central Washington University,400 East University Way,Ellensburg
Centralia College,Main Campus,600 Centralia College Blvd.,Centralia
Centralia College,Centralia College - East Campus,701 Airport Way,Morton
City University of Seattle,Main Campus,11900 NE First Street,BELLEVUE
City University of Seattle,Everett,1000 S. E. EVERETT MALL WAY,SUITE 101
City University of Seattle,North Seattle,2150 N. 107TH STREET,SUITE 300
City University of Seattle,Renton,555 S. RENTON VILLAGE PLACE,SUITE 300
City University of Seattle,Tacoma/Fife,3700 Pacific Hwy E,Fife
City University of Seattle,Vancouver,12500 SE 2nd Cirlce,VANCOUVER
City University of Seattle,Vancouver,B.C.,789 W Pender Street
City University of Seattle,Victoria,B.C.,305 - 877 Goldstream Ave.
City University of Seattle,Calgary,AB,1300 8th Street SW
City University of Seattle,Edmonton,AB,10328 81st Ave. Suite 308
City University of Seattle,Bratislava,SK,Vysoka Skola Manazmentu Panonska cesta 17
City University of Seattle,Trencin,SK,Vysoka Skola Manazmentu Bezrucova 64
City University of Seattle,Zurich,CH,Bahnhofstrasse 52
Clare's Beauty College Inc,Clare's Beauty College Inc.,104 N 4TH AVE,PASCO
Clark College,Main Campus and TPC,1933 Fort Vancouver Way,VANCOUVER
Clover Park Technical College,Main Campus,4500 STEILACOOM BLVD SW,LAKEWOOD
Columbia Basin College,Main Campus,2600 N 20TH AVE,PASCO
Cornish College of the Arts,Cornish College of the Arts,1000 Lenora Street,SEATTLE
Divers Institute of Technology,DIVERS INSTITUTE OF TECHNOLOGY,4315 11TH AVE NW,SEATTLE
Eastern Washington University,Main Campus,526 5th Street,CHENEY
Edmonds Community College,Main Campus,20000 68TH AVE W,LYNNWOOD
Everett Community College,Everett Community College,2000 Tower Street,Everett
Paroba College of Cosmetology,Paroba College of Cosmetology,607 SE EVERETT MALL,SUITE 5
The Evergreen State College,Main Campus,2700 EVERGREEN PKY NW,OLYMPIA
Pierce College at Fort Steilacoom,Pierce College Fort Steilacoom,9401 Farwest Drive SW,Lakewood
Professional Beauty School,Branch Campas,214 S 6th Street,SUNNYSIDE
Glen Dow Academy of Hair Design,Main Campus,W 309 RIVERSIDE AVE,SPOKANE
Gonzaga University,Main Campus,E 502 BOONE AVE,SPOKANE
Gonzaga University,Gonzaga-In-Florence,Via Giorgio La Pira,11/13  50211 Firenze
Grays Harbor College,Main Campus,1620 EDWARD P SMITH DR,ABERDEEN
Grays Harbor College,Riverview Education Center,600 Washington Street,Raymond
Grays Harbor College,Columbia Education Center,208 Advent Ave SE,Ilwaco
Green River Community College,Main Campus,12401 SE 320TH ST,AUBURN
Greenwood Academy of Hair,Main Campus,8501 GREENWOOD N,SEATTLE
Heritage University,Main Campus,3240 FORT RD,TOPPENISH
Highline Community College,Highline Community College,2400 S 240th St,Des Moines
Interface College-Spokane,Central Campus,N 1118 Washington,SPOKANE
International Air Academy Inc,Main Campus,2901 E MILL PLAIN BLVD,VANCOUVER
ITT Technical Institute-Seattle,Main Campus,12720 GATEWAY DR STE 100,SEATTLE
ITT Technical Institute-Spokane Valley,Main Campus,13518 E Indiana AVE,Spokane Valley
Bastyr University,Main Campus,14500 JUANITA DRIVE NE,KENMORE
