Noncampuscrime060708[1,2,3,4].csv
Bee Jays Academy,Bee Jay's Hairstyling Academy 1,1907 HINSON LOOP,LITTLE ROCK
Bee Jays Academy,BEE JAYS ACADEMY,130 W MAIN ST,BATESVILLE
Black River Technical College,Main Campus,1410 HWY 304,POCAHONTAS
University of Central Arkansas,Main Campus,201 DONAGHEY AVE,CONWAY
Central Baptist College,Main Campus,1501 COLLEGE AVE,CONWAY
Blytheville Academy of Cosmetology,Main Campus,100 E MAIN ST,BLYTHEVILLE
Cossatot Community College of the University of Arkansas,Main Campus,183 College Drive,DE QUEEN
Crowley's Ridge College,Main Campus,100 COLLEGE DR,PARAGOULD
Crowleys Ridge Technical Institute,Main Campus,1620 Newcastle Road,FORREST CITY
De Luxe Beauty School,Deluxe Beauty School Main Campus,1609 west 26th,PINE BLUFF
East Arkansas Community College,East Arkansas Community College,1700 NEWCASTLE RD,FORREST CITY
Eastern College of Health Vocations,Main Campus,6423 FORBING RD,LITTLE ROCK
Imagine-Paul Mitchell Partner School,Main campus,4201 E McCain Blvd,North Little Rock
National Park Community College,Main Campus,101 COLLEGE DR,HOT SPRINGS
University of Arkansas Community College-Batesville,Main Campus,2005 White Drive,PO BOX 3350
Harding University,Main Campus,900 E. Center,Searcy
Harding University,North Little Rock Professional Center,Suite 113,3807 McCain Park Drive
Harding University,Northwest Arkansas Professional Center,1803 Phyllis Street,Suite 202
Harding University,Harding University-Athens Greece,37 KLM Porto Rafti Avenue,Markopoulo
Harding University,Harding University-Florence Italy,Via Triozzi 57,Scandicci (Firenze)
Henderson State University,Main Campus,1100 HENDERSON ST,ARKADELPHIA
Hendrix College,Main Campus,1600 WASHINGTON AVE,CONWAY
Hot Springs Beauty College,Hot Springs Beauty College,100 Cones Rd,HOT SPRINGS
Jefferson School of Nursing,Main Campus,1600 West 40th,PINE BLUFF
John Brown University,Main Campus,2000 W UNIVERSITY ST,SILOAM SPRINGS
Lees School of Cosmetology,Main Campus,2700 W. PERSHING BLVD,NORTH  LITTLE ROCK
Career Academy of Hair Design,Career Academy of Hair Design,346 E Robinson Ave,SPRINGDALE
Marsha Kay Beauty College,MARSHA KAY BEAUTY COLLEGE,408 HWY 201 N,MOUNTAIN HOME
Mellies Beauty College,Mellies Beauty College,311 S 16TH ST,FT SMITH
Mid-South Community College,Main Campus,2000 W.  BROADWAY,WEST MEMPHIS
Arkansas Northeastern College,Main Campus,2501 S DIVISION,BLYTHEVILLE
Arkansas Northeastern College,Leachville Center,103 North Main Street,Leachville
Arkansas Northeastern College,Osceola Center,2868 West Semmes Street,Osceola
Arkansas Northeastern College,Crisp Center,4123 East Highway 18,Blytheville
Arkansas Northeastern College,Moore Center,500 West Chickasawba,Blytheville
Arkansas Northeastern College,Burdette Center,Interstate 55,Burdette
Arkansas Northeastern College,Paragould Center,1032 W. Kingshighway         PO Box 458,Paragould
Margarets Hair Academy Inc,Main Campus,305 East Gaines Street,Monticello
New Tyler Barber College Inc,Main Campus,1221 E 7TH ST,NORTH LITTLE ROCK
North Arkansas College,Main Campus,1515 PIONEER DR.,HARRISON
Northwest Technical Institute,Main Campus,709 S OLD MISSOURI RD,SPRINGDALE
Ouachita Baptist University,Main Campus,410 OUACHITA ST,ARKADELPHIA
Ouachita Technical College,Main Campus,ONE COLLEGE CIR,MALVERN
Ozarka College,Main Campus,218 COLLEGE DR,MELBOURNE
University of the Ozarks,Main Campus,415 N COLLEGE AVE,CLARKSVILLE
University of Arkansas Community College-Morrilton,Main Campus,1537 University Blvd.,MORRILTON
Philander Smith College,Philander Smith College,One Trudie Kibbie Reed Drive,LITTLE ROCK
Phillips Community College of the University of Arkansas,Main Campus,1000 CAMPUS DR,HELENA
Phillips Community College of the University of Arkansas,Phillips Comm Coll,Stuttgart,AR
Phillips Community College of the University of Arkansas,Phillips Comm Coll,Dewitt,AR
Southeast Arkansas College,Main Campus,1900 HAZEL ST,PINE BLUFF
Professional Cosmetology Education Center,Main Campus,460 N Washington Ave,El Dorado
Pulaski Technical College,Main Campus,3000 W SCENIC DR,NORTH LITTLE ROCK
University of Arkansas Community College-Hope,Main Campus,2500 S MAIN,HOPE
Rich Mountain Community College,Main Campus,1100 COLLEGE DR,MENA
Fayetteville Beauty College,Main Campus,2167 W. martin Luther king blvd.,FAYETTEVILLE
Searcy Beauty College Inc,SEARCY BEAUTY COLLEGE,INC.,1004 S MAIN
Williams Baptist College,Main Campus,60 W Fulbright Avenue,Walnut Ridge
South Arkansas Community College,Main Campus,300 S WEST AVE,EL DORADO
Southern Arkansas University Main Campus,Main Campus,100 E. University Street,MAGNOLIA
Southern Arkansas University Tech,Main Campus,100 Carr Road,Camden
Velvatex College of Beauty Culture,Velvatex College of Beauty Culture,1520 MARTIN LUTHER KING DR,LITTLE ROCK
University of Arkansas-Fort Smith,Main Campus,5210 Grand Ave,Fort Smith
Abram Friedman Occupational Center,Abram Friedman Occupational Center,1646 S Olive Street,Los Angeles
Academy of Art University,Main Campus,79 NEW MONTGOMERY,SAN FRANCISCO
